Bond_Code,Issuer,Issue_Date,ISIN,Latest_Rating,Bond_type
230013,Ministry of Finance of the People¡¯s Republic of China,2023-06-14,CND10006JM06,---,Treasury Bond
239936,Ministry of Finance of the People¡¯s Republic of China,2023-06-09,---,---,Treasury Bond
239935,Ministry of Finance of the People¡¯s Republic of China,2023-06-09,CND10006JD64,---,Treasury Bond
239934,Ministry of Finance of the People¡¯s Republic of China,2023-06-07,CND10006JLY4,---,Treasury Bond
239933,Ministry of Finance of the People¡¯s Republic of China,2023-06-07,CND10006JLZ1,---,Treasury Bond
239932,Ministry of Finance of the People¡¯s Republic of China,2023-06-02,CND10006JDS3,---,Treasury Bond
239931,Ministry of Finance of the People¡¯s Republic of China,2023-05-26,CND10006HB01,---,Treasury Bond
230012,Ministry of Finance of the People¡¯s Republic of China,2023-05-24,CND10006GPT1,---,Treasury Bond
239930,Ministry of Finance of the People¡¯s Republic of China,2023-05-19,CND10006GQF8,---,Treasury Bond
239929,Ministry of Finance of the People¡¯s Republic of China,2023-05-12,CND10006G542,---,Treasury Bond
230011,Ministry of Finance of the People¡¯s Republic of China,2023-05-12,CND10006FNG5,---,Treasury Bond
239928,Ministry of Finance of the People¡¯s Republic of China,2023-05-10,CND10006FQJ2,---,Treasury Bond
239927,Ministry of Finance of the People¡¯s Republic of China,2023-05-10,CND10006FQK0,---,Treasury Bond
239926,Ministry of Finance of the People¡¯s Republic of China,2023-05-05,CND10006DR07,---,Treasury Bond
239925,Ministry of Finance of the People¡¯s Republic of China,2023-05-05,CND10006C988,---,Treasury Bond
230010,Ministry of Finance of the People¡¯s Republic of China,2023-04-24,CND10006BDM3,---,Treasury Bond
239924,Ministry of Finance of the People¡¯s Republic of China,2023-04-21,CND10006BG93,---,Treasury Bond
239923,Ministry of Finance of the People¡¯s Republic of China,2023-04-21,CND10006BCN3,---,Treasury Bond
239922,Ministry of Finance of the People¡¯s Republic of China,2023-04-14,CND10006BC89,---,Treasury Bond
230009,Ministry of Finance of the People¡¯s Republic of China,2023-04-14,CND100069PK9,---,Treasury Bond
230008,Ministry of Finance of the People¡¯s Republic of China,2023-04-14,CND100069PL7,---,Treasury Bond
239920,Ministry of Finance of the People¡¯s Republic of China,2023-04-12,CND10006BBV8,---,Treasury Bond
239921,Ministry of Finance of the People¡¯s Republic of China,2023-04-12,CND10006BBT2,---,Treasury Bond
239919,Ministry of Finance of the People¡¯s Republic of China,2023-04-07,CND100069P27,---,Treasury Bond
239918,Ministry of Finance of the People¡¯s Republic of China,2023-03-24,CND1000682G3,---,Treasury Bond
230007,Ministry of Finance of the People¡¯s Republic of China,2023-03-24,CND100067586,---,Treasury Bond
230006,Ministry of Finance of the People¡¯s Republic of China,2023-03-24,CND100067578,---,Treasury Bond
239917,Ministry of Finance of the People¡¯s Republic of China,2023-03-17,CND100067552,---,Treasury Bond
230005,Ministry of Finance of the People¡¯s Republic of China,2023-03-14,CND1000652C5,---,Treasury Bond
239916,Ministry of Finance of the People¡¯s Republic of China,2023-03-10,CND1000652Y9,---,Treasury Bond
239915,Ministry of Finance of the People¡¯s Republic of China,2023-03-08,CND1000652D3,---,Treasury Bond
239914,Ministry of Finance of the People¡¯s Republic of China,2023-03-08,CND1000652F8,---,Treasury Bond
239913,Ministry of Finance of the People¡¯s Republic of China,2023-03-03,CND1000651L8,---,Treasury Bond
239912,Ministry of Finance of the People¡¯s Republic of China,2023-03-03,CND100064S52,---,Treasury Bond
239911,Ministry of Finance of the People¡¯s Republic of China,2023-02-24,CND100064RF6,---,Treasury Bond
230004,Ministry of Finance of the People¡¯s Republic of China,2023-02-24,CND100063XD1,---,Treasury Bond
239910,Ministry of Finance of the People¡¯s Republic of China,2023-02-17,CND100063PG0,---,Treasury Bond
230003,Ministry of Finance of the People¡¯s Republic of China,2023-02-14,CND1000639M1,---,Treasury Bond
239909,Ministry of Finance of the People¡¯s Republic of China,2023-02-10,CND1000639H1,---,Treasury Bond
239907,Ministry of Finance of the People¡¯s Republic of China,2023-02-08,CND1000620Q2,---,Treasury Bond
239908,Ministry of Finance of the People¡¯s Republic of China,2023-02-08,CND1000620P4,---,Treasury Bond
239906,Ministry of Finance of the People¡¯s Republic of China,2023-02-03,CND100061ZY6,---,Treasury Bond
239905,Ministry of Finance of the People¡¯s Republic of China,2023-02-03,CND100060110,---,Treasury Bond
239904,Ministry of Finance of the People¡¯s Republic of China,2023-01-13,CND10005ZVC7,---,Treasury Bond
230002,Ministry of Finance of the People¡¯s Republic of China,2023-01-13,CND10005ZT18,---,Treasury Bond
239903,Ministry of Finance of the People¡¯s Republic of China,2023-01-13,CND10005ZT00,---,Treasury Bond
230001,Ministry of Finance of the People¡¯s Republic of China,2023-01-13,CND10005ZT26,---,Treasury Bond
239902,Ministry of Finance of the People¡¯s Republic of China,2023-01-11,CND10005ZTL2,---,Treasury Bond
239901,Ministry of Finance of the People¡¯s Republic of China,2023-01-11,CND10005ZTM0,---,Treasury Bond
